estacion_id,fecha,lluvia_total,temp_media,temp_max,temp_min,pet,spei_3,spei_6,spei_12
CAAZ,2000-01-31,144.0000,27.2742,33.8065,22.6258,138.7723,,,
CAAZ,2000-02-29,97.6000,26.2655,32.6552,21.8759,105.0750,,,
CAAZ,2000-03-31,202.8000,25.2484,31.4710,21.0968,127.5292,-0.1705,,
CAAZ,2000-04-30,163.6000,22.5800,28.6200,18.5067,100.8458,0.1640,,
CAAZ,2000-05-31,185.8000,17.2161,23.0645,13.0968,55.7890,0.8804,,
CAAZ,2000-06-30,203.0000,18.2633,22.9467,14.5533,63.3160,1.1844,0.7736,
CAAZ,2000-07-31,41.6000,12.9935,19.5742,7.2452,27.6127,0.9559,0.8077,
CAAZ,2000-08-31,97.4000,18.6355,25.3871,13.8194,65.4752,0.4633,0.9592,
CAAZ,2000-09-30,176.4000,20.0033,25.9867,15.3400,69.3456,0.2881,1.0791,
CAAZ,2000-10-31,304.6000,23.6290,29.7548,19.5935,103.4585,1.2195,1.5796,
CAAZ,2000-11-30,111.0000,23.3233,29.1467,19.0800,89.9936,1.1695,1.1882,
CAAZ,2000-12-31,109.8000,25.7387,31.7097,21.2774,117.0531,0.6155,0.6253,0.9305
CAAZ,2001-01-31,149.8000,26.8645,32.2065,23.0387,133.5023,-0.4373,0.6345,0.9640
CAAZ,2001-02-28,169.4000,27.0107,31.9714,23.4786,108.9784,-0.1920,0.7470,1.1694
CAAZ,2001-03-31,129.6000,26.5419,31.8194,22.7548,144.9163,-0.2411,0.2504,0.8954
CAAZ,2001-04-30,142.6000,23.9167,28.9533,20.6267,116.8290,-0.1834,-0.5319,0.7838
CAAZ,2001-05-31,35.0000,17.1903,21.8000,12.8968,55.5754,-0.7024,-0.7322,0.3308
CAAZ,2001-06-30,117.7000,17.1933,23.1400,13.0400,54.2551,-0.1970,-0.3953,0.1023
CAAZ,2001-07-31,36.9000,18.5968,25.0710,13.3613,69.0921,-0.5632,-0.6244,-0.0358
CAAZ,2001-08-31,79.6000,21.6677,28.6645,16.8065,96.2858,-0.5376,-1.0071,-0.1810
CAAZ,2001-09-30,126.0000,20.1733,25.0400,16.3867,70.8632,-0.5924,-0.6565,-0.3357
CAAZ,2001-10-31,39.6000,23.2839,29.1032,18.6258,99.6364,-0.7812,-1.0862,-1.1104
CAAZ,2001-11-30,162.2000,25.2767,30.9067,20.9733,110.5512,-0.3317,-0.7226,-1.0199
CAAZ,2001-12-31,108.8000,25.2645,30.5677,20.6000,111.6154,-0.7098,-1.0553,-1.0067
CAAZ,2002-01-31,96.4000,25.7613,31.6323,21.3548,119.9230,-0.4678,-1.0108,-1.1244
CAAZ,2002-02-28,47.0000,25.3893,30.5143,21.5500,93.0176,-1.1494,-1.1630,-1.4382
CAAZ,2002-03-31,122.8000,27.0226,32.4871,23.6258,151.7245,-1.3529,-1.6225,-1.4782
CAAZ,2002-04-30,204.0000,23.8100,28.7800,20.5267,115.5007,-0.5442,-0.8333,-1.2935
CAAZ,2002-05-31,250.4000,21.0871,25.5677,17.8581,93.7278,0.6224,-0.3314,-0.7696
CAAZ,2002-06-30,134.4000,17.0900,22.1000,13.9000,53.4249,1.1554,0.0427,-0.7176
CAAZ,2002-07-31,121.4000,15.8194,20.8387,11.5032,45.6800,1.0962,0.4602,-0.3969
